abbreviation,context,expanded_abbreviation,base_abbreviation,tokenized_input,tokenized_target
s.,"Podhalański (s. 12), Świt Krzeszowice - Borek (s. 12), Karpaty Siepraw - Niwa Nowa Wieś (<mask> 12), MKS Trzebinia Siersza - Górnik Wieliczka (s. 12), Orzeł Piaski Wielkie - Jutrzenka",sobota,sobota,"tensor([[  4841,  18276,  77886,    274,    263,    260,    644,    506,  30546,
            270,    412, 152868, 144281,    259,    264,   9657,    592,    274,
            263,    260,    644,    506, 164840,   1421,   1328,  99468,    259,
            264,   2106,    969,   6928,    262,    564,  61980,    274,   2709,
          55114,    669,    644,    506,    352,  12016,   1830,   1043,  59141,
            262,   1124,   1207,    745,    259,    264,  61936,   2633,  84689,
            266,  90009,    274,    263,    260,    644,    506,   3294,   1043,
           2898,  21475,   2764,  49574,    634,    259,    264,   2887, 141880,
           9769,      1]])","tensor([[  259, 41784,   262,     1]])"
j.,"i windsurfingu, a także V Memoriał im. Stanisława Jankowskiego i Błękitna Wstęga <mask> Gopło.  Organizatorem zawodów jest Kujawsko-Pomorski Okręgowy Związek Żeglarski",jeziora,jezioro,"tensor([[   259,    266,  25720, 138900,    273,    261,    259,    262,    756,
           3598,    434, 118187,   2898,    859,    260,  15597, 102333,    262,
           2105, 198143,    259,    266,    364,  43871,   9922,    377,    564,
            263,  16204,    743,   1042,  55114,    669,   2544, 157250,    260,
          47608,   1761,    470,  33765,   1174,   1402,    412, 144669,   3507,
            264,   5845, 135650,  58919, 222012,    276,    736, 107112,    592,
          33064,    265, 106359,   2764,      1]])","tensor([[   384, 229390,      1]])"
CoV.,"opracowywali taką szczepionkę już wcześniej celem powstrzymania innego koronawirusa, MERS-<mask> Ten koronawirus okazał się mniej groźny, od 2012 roku zabił „jedynie” 866 osób,",CoV.,CoV.,"tensor([[   259,    268, 219199, 199294,    756,    761,    259, 214691,    444,
          10167,   1218,   1610,    414,  28007,    385,    259, 214514,  44851,
         155128,   4289,    281,   5663,  67378,   3367, 103070,    261,    259,
         203671, 115387,  55114,    669,   6175,  67378, 219703,    263,  16350,
          13410,    947,    259,  32121,  19323, 129134,    276,    261,    682,
            846,   4351,  71707,   2898,    565,  66624,   1145,    365,    259,
          50941,    259,    337,   5715,    261,      1]])","tensor([[1288,  561,  260,    1]])"
s p.,"złożenia wyjaśnień w toku przygotowywania sprawozdania zarządu z działalności <mask> z o.o. i finansowego, obejmujących okres pełnienia przez nią funkcji w tym organie,",spółki,spółka,"tensor([[ 34410,  46850,   1628,  89918,   7504,    414,    288,    662, 119832,
          60259,  14601, 140495,    539,    259,  71556,    273,    397,  12711,
          31892,   1042,  55114,    669,    397,    259,    268,    260,    268,
            260,    259,    266,  16806,   8704,    261,    259,  65403,    282,
          40143,    259,  18676,    259,  18414,   3631,   3715,    259,  30303,
          79804,    266,    414,   4559,  88606,    265,    261,      1]])","tensor([[  259, 35268,   650,     1]])"
F. sp.,kwocie 600 tys. zł zostały udzielone w zamian za zawarcie w imieniu PZPS z firmą <mask> z o.o. zawyżonej umowy zabezpieczenia mistrzostw świata w piłce siatkowej mężczyzn,F.  spółka,F.  spółka,"tensor([[ 64888,   3352,   5388,  72632,    260,   4932,    259,  14183,    276,
            259,  76384,  59353,    414, 135413,    321,    466,  75637,  85232,
            414,    859,  85404, 119898,  11957,    397,   7324,    761,   1042,
          55114,    669,    397,    259,    268,    260,    268,    260,    466,
          69663,  65382,    673,   4914, 103142,   3631,    259,  73644, 225937,
          21902,    262,    414,    259,  99961,    541,    259, 173430,   6955,
            326,  24934,  90280,      1]])","tensor([[  515,   260,   259, 35268,   479,     1]])"
d.,"urodził się 22 lutego 1917 r. w zamożnej rodzinie kupieckiej Kazimierza i Heleny z <mask> Kiełkowskiej. Uczył się w polskich szkołach, najpierw powszechnej, siedmioklasowej",domu,dom,"tensor([[   259,    715, 169318,    947,   1024,   1411,   4139,  52146,    259,
            286,    260,    414,    466,   4123,   2794,  31682,    634,  30132,
            265, 110243,  73415, 133434,    259,    266,  45392,    276,    397,
           1042,  55114,    669,   1931,    265, 224061,  46992,    260,    581,
          75312,    947,    414,  63939,   2623,  56439, 127436,    261,   1895,
          78386,    259, 130379,   1057,    261,    395,    345,  47571,  30608,
           6955,      1]])","tensor([[17031,     1]])"
mył.,"mamy o tym, że zepsuła się zmywarka, macha ręką. - Mama ty się nie martw. Ja będę <mask> W końcu mam dwie ręce - mówi z powagą. Siła napędowa obowiązków Agnieszka śmiga",mył.,mył.,"tensor([[   259,  50330,    259,    268,   4559,    261,   1810,   1478, 121002,
           4005,    947,    397,   1813, 176525,    261, 195686,  51411,   5665,
            260,    259,    264,  19761,   3712,    947,    716,    259, 197418,
            260,   1480,    259,  14398,   1241,   1042,  55114,    669,    564,
            259,  28938,    273,   6356,    259,  56360,  51411,    541,    259,
            264,    259,  18365,    397,    485,  29238,    761,    260,   1124,
           4005,    294, 136483,   4553,    259,  31233,   6832,  63998, 146852,
            259, 135204,    743,      1]])","tensor([[1037, 2898,  260,    1]])"
tys. uli.,"Według danych z Wojewódzkiego Związku Pszczelarzy w Krakowie, w Małopolsce jest 90 <mask> W każdym z nich jest ok. 100 tys. pszczół. Drugie tyle uli jest niezrzeszonych. Wojciech",tysięcy uli.,tysiąc uli.,"tensor([[  1306,  47717,    350,   2765,    397,    564, 128077,  89506,  33842,
            736, 210071,    273,    363,  10363,    845,   2938,    414,  71419,
            634,    261,    414,  81600,    268,   8136,    263,    541,   1402,
           2398,   1042,  55114,    669,    564,    259,   9223,  44257,    397,
          10154,   1402,   5412,    260,    966,  72632,    260,    421,  75549,
          17311,    260,  31478,    634,    259,  62114,    259,  11526,   1402,
          31010, 152868,  31380,    260,  49486, 113852,      1]])","tensor([[  3712, 130378,    276,    259,  11526,    260,      1]])"
s.,"społecznych: Brazylia w polskich mediach  25.06, sobota, 11.45-13.45 11.4. Dydaktyka, <mask> 2.23 Jan Mazur: Rola lektora języka polskiego w zagranicznym ośrodku akademickim.",sala,sala,"tensor([[ 55691,   3039,    267,  99525,  22910,    262,    414,  63939,   2623,
           3706,    697,   9546,  84412,    259,  41784,    262,    261,    333,
         124763,   2810, 180799, 165162,    260,  19522,  27262,  55434,    261,
           1042,  55114,    669,    259, 181873,   2105, 153593,    286,    267,
          40170,    262, 145633,    262,    259,  35766,    479,    485, 100673,
            414,    466, 179807,   2722,    259,    268,  72140,    662,  40952,
         197900,    260,      1]])","tensor([[9566,    1]])"
s.,"Bodil Lindqvist przeciwko ?klagarkammaren i Jönköping, OJ C7 z 10 stycznia 2004, <mask> 3) Trybunał Sprawiedliwości Unii Europejskiej uznał, że zamieszczenie na stronie",strona,strona,"tensor([[ 32612,    696,  21339, 111185,  36414,    704,    259,    291, 105218,
            372, 227659,    278,    259,    266, 111951,  93588,    261,    259,
          47886,    371,    487,    397,    475,    259,  44258,    262,   3749,
            261,   1042,  55114,    669,  14540,  28729,   1982, 138842,    320,
          73070,    285,  62844,   6988,    266,   3970,  70070,   1678, 138842,
            261,   1810, 106326,  43953,    294,   9693,    634,      1]])","tensor([[9693,  262,    1]])"
w.,"Francji w VIII wieku Arabowie, tym dla Europy Środkowej i Wschodniej stali się w XIII <mask> Mongołowie (Tatarzy).  Wychynęli oni ze stepów Azji i wstrząsnęli kontynentem euroazjatyckim.",wieku,wiek,"tensor([[ 17425,    976,    414,  43114,   1968,    662,  13670,   7484,    261,
           4559,   2506,  17352,    276,  25394,  20049,  99981,    259,    266,
            564, 204458,   1057, 129187,    947,    414,  64223,   1042,  55114,
            669, 100777,    268, 105845,    274,    490,   1319,  32969,    483,
           5743,  16202,  21150,    494,    351,    266,   1478,  14460,   1174,
           2012,    976,    259,    266,    414,    705, 120093,    263,  21150,
            494,  20376,    276,   3358,   3280,  72580,  74175,  31218,    780,
            260,      1]])","tensor([[1968,  662,    1]])"
s.,"Niepołomice - Jodłownik (pt. 12 start, ok. 16 meta), etap Niedzica - Niedzica, zapora (<mask> 10 start, ok. 13 meta).  Mistrzostwa Polski w trialu, plac przed Galerią Krakowską",sobota,sobota,"tensor([[  4383,   1331,   4319, 130050,    259,    264,  70650, 120062,    314,
            274,   2766,    260,    644,   3014,    261,   5412,    260,    799,
          13301,    506,  51942,    441, 122868,    750,    259,    264,    441,
         122868,    750,    261,    466,  57837,    274,   2709,  55114,    669,
            475,   3014,    261,   5412,    260,    849,  13301,    483, 100248,
           1958,  37679,  23911,    414,  40432,    273,    261,  19831,  10723,
          75721,    761,  71419,  57271,      1]])","tensor([[  259, 41784,   262,     1]])"
l.,"Bank Handlowy planuje przeznaczanie min. 75% zysku za <mask> 2018-2021 na dywidendy  Warszawa, 10.12.2018 (ISBnews) - Bank Handlowy zakłada przeznaczanie",lata,rok,"tensor([[  3989, 203176,   4914,   2127,   1466,   3715,    377, 214708,   1342,
            260,    259,  31603,    259,  97466,    273,    466,   1042,  55114,
            669,    392, 123475,    294,   7730,  35983,    272,   1582,  46595,
            261,    475,  43860,    274,  16162,    452,   2783,    271,    259,
            264,   3989, 203176,   4914,    466,  72408,   3715,    377, 214708,
              1]])","tensor([[51818,     1]])"
ile.,"dokładność. Najcięższym dowodem są bardzo dokładne rozliczenia, kto dawał, komu i <mask> Dowodem są też bilingi. Dochodziło do tego, że pracownicy pogotowia konkurowali",ile.,ile.,"tensor([[   342,   8789,  18603,    260,   7339,  63575,  28370,    259,  58700,
           2930,   3395,    330,   6838,    342,   8789,    405,  97083,  47231,
            261,    259,  15350,    350,  53181,    261,  71621,    259,    266,
           1042,  55114,    669,  52467, 140370,   3395,    400,   1610,    330,
         147345,    260,   1272,  18986,   4319,    342,    259,   4139,    261,
           1810,  57978,   2888,    485, 157428,    539, 109015,  85574,      1]])","tensor([[2222,  260,    1]])"
w.,"przeziębienie – nie dają takiej gwarancji.  Podczas dwóch badań przeprowadzonych jeszcze XX <mask> zarażono tymi wirusami jeszcze raz ochotników, którzy już przeziębienie przeszli.",wieku,wiek,"tensor([[  3715,    266, 182687,   2909,    322,    716,    259, 135069,    756,
          12476,    259,  71943,   8463,    260,   4841,  12347,    331,  39574,
            697,    810,  70920,  64485,  31380,    384,  10363,  20944,   1042,
          55114,    669,    466,  90281,   3602,   4559,    266,   2927,    438,
           1708,    384,  10363,   2999,    259, 188648,  18740,    261,    259,
           1743,   2938,   1218,   1610,   3715,    266, 182687,   2909, 109341,
            494,    260,      1]])","tensor([[1968,  662,    1]])"
h.,"każdym razem nabierze prędkości bezszelestnie, bez ociągania – maksymalnie do 160 km/<mask> Przyspieszenie do 60 km/h zajmie 3,4 s.  ID.3 1ST jest dostępny w trzech wariantach",godzinę,godzina,"tensor([[   259,   9223,  44257,   2999,    470,    294,  50336,    265,    259,
          72527,    285,  28189,   1756, 103275,    861,   1145,    261,   1756,
            259,    268,  17093,   4289,    322,   7733, 129776,   1145,    342,
           9325,   1006,    275,   2709,  55114,    669,  22854, 104900,  78908,
            342,   1617,   1006,    275,    334,  15383,  22568,  81756,    259,
            263,    260,   2530,    260,    328,    333,  12999,   1402, 106572,
            414,    259,    270, 113777,    414,  36151,  17012,      1]])","tensor([[29324,  1241,     1]])"
s.,Powstania Warszawskiego ubrany był w odzież z logotypami sieci fast food McDonald`<mask> Restauracja zapytana przez nas o prowokację stanowczo odcina się od osoby ubranej,s.,s.,"tensor([[ 88238,    263, 111021,  49629,  44865, 128341,   5557,    259,   7615,
            414,    259, 163698,    397,  10415,  28515,   1708,   1980,    769,
           4756,   8314,  93258,   1509,   2709,  55114,    669,    259, 164319,
            462,    466, 138361,    377,   3715,   1755,    259,    268,    731,
         139212,  34001,  16195,    268, 112942,    682,  19037,    947,    682,
            259,  26651, 128341,    262,   2794,      1]])","tensor([[259, 263, 260,   1]])"
Bit.,"dotychczasowy zakres 128 Mb – 2 Gb. Do jej produkcji posłużono się technologią Mirror-<mask> Można wykorzystać te pamięci w wielu dziedzinach. Planuje się, że będą chętnie używane",Bit.,Bit.,"tensor([[   342,  10011, 157632,    276,  32188,    299,  13284,  45021,    322,
            356,  65291,    260,   1272,   6064,   7074,   8463,    485,  47991,
           3602,    947,  23797,    761,  43630, 115387,  55114,    669,    352,
          98295,    262,  34095,   5129,    400,    259, 105269,    769,    414,
          26319,    273,    259, 105018,  17060,    260,   5594,   1466,    947,
            261,   1810,    259,  14398,    761,    259,  38922,  62900,  27377,
          32556,      1]])","tensor([[19625,   260,     1]])"
s.,"Politechnika Krakowska - Wisłok Strzyżów (s. 18), Wanda Kraków - STS Skarżysko Kamienna (<mask> 16).  I liga kobiet: Korona - Siemaszka Piekary (s. 16).  II liga mężczyzn: Wisła",sobota,sobota,"tensor([[ 11950, 131388,  71419,   1855,    259,    264,  69143,   4319,    314,
           1819, 143192,   1174,    274,    263,    260,    812,    506,    259,
         202511,    259,  76881,    259,    264,    259, 103610,  89055,   5318,
           3507,  10721,    278,    377,    274,   2709,  55114,    669,    799,
            483,    336,  30788,  32750,    267, 170857,    259,    264,   1328,
           2703,  18808,  15951,   2229,    276,    274,    263,    260,    799,
            483,   2052,  30788,    326,  24934,  90280,    267,  69143,   4005,
              1]])","tensor([[  259, 41784,   262,     1]])"
